Story,Area,Code,Definition of Done,Dependencies,Epic,Exit Criteria,Horizon,Legacy Source,Order,Prefix,Priority,Repo Evidence,Source GDD,Spec State,Status,Summary,System Area,Theme,Type,Wave
"Rebuild pre-stage preparation around V2 skill families Ward, Break, Veil, Path, Rite, and Root instead of old per-calling skill stubs.",Echo Progression,V2-PROG-005,Canonical foundation skill families and their role in prep flow are defined. Old per-calling stub assumptions are removed.,V2-PROG-004,Skill Families,Future combat stories build against family skills.,Foundation,PROG-008; PROG-009,60,PROG,P1,core/progression/http://SkillDefinition.gd; core/state/flow/states/venture/http://FlowStageMapState.gd; data/balance.json,§11.4.5 Current skill direction,Locked,Ready,Prep and growth need a family-based skill model so calling identity and future Standing 6/9 growth can attach cleanly.,PROG,,Rewrite,Foundation
Implement Standing-3 recognition around the six foundational V2 callings and the locked selection overlay logic.,Echo Progression,V2-PROG-004,The six foundational Standing-3 callings are canonical. Overlay logic and selection rules match the locked V2 structure.,V2-PROG-002; V2-PROG-003,Callings,No new progression or voice story references the old five callings as final canon.,Foundation,PROG-007,50,PROG,P0,core/progression/http://CallingService.gd; docs/http://calling-reference.md; data/balance.json,§11.4.5; §11.5; §20.17,Locked,Ready,"Standing-3 calling recognition must surface Okofor, Aduro, Onyamesu, Okomfo, Kra-Soro, and Sum-Okwanfo instead of the old five-calling model.",PROG,,Rewrite,Foundation
"Replace explicit smartness-tier framing with the hidden maturity-expression layer that drives readiness, refusal, composure, and interpretation.",Echo Progression,V2-PROG-006,Smartness-tier language is removed from canonical backlog truth. Hidden maturity-expression is defined as the new behavior seam.,V2-PROG-001; V2-PROG-003,Expression,"Voice, vows, bonds, and initiative stories can reference one shared expression layer.",Foundation,PROG-010,70,PROG,P1,core/actors/http://SmartnessTierService.gd; core/actors/http://ActorStateMachine.gd; data/balance.json,§11.5 hidden maturity-expression layer; §23.2,Locked,Ready,"Behavior readability should come from maturity-expression under pressure, not visible AI competence tiers.",PROG,,Rewrite,Foundation
"Replace player-facing XP, Rank, and Level language with Storyweight, Standing, and Step while keeping save-safe internal compatibility.",Echo Progression,V2-PROG-001,"UI, snapshots, docs, and story text stop using XP/Rank/Level as canonical player-facing terms. Compatibility path is defined.",V2-MIG-001,Echo Progression,No new implementation story depends on old progression vocabulary.,Alignment,PROG-003; PROG-004; PROG-007; PROG-009; PROG-010,20,PROG,P0,core/progression/http://ProgressionService.gd; ui/screens/sanctum/http://EchoPartyScreen.gd; ui/overlays/http://RankUpOverlay.gd,§11.5; §11.9; §12.1; §23.2,Locked,Ready,"All player-facing progression surfaces and backlog language must read as Storyweight, Standing, and Step.",PROG,,Rewrite,Alignment
Define the foundation Thread recovery model so Realm rewards and Echo growth route through V2 Weave truth instead of generic progression payouts.,Narrative / Content,V2-WEAVE-001,"Recovered Threads, reserve behavior, and their relation to Storyweight are defined for foundation implementation.",V2-PROG-001,Threads,Realm rewards can be rewritten against Threads instead of generic gain bundles.,Foundation,No safe legacy story,80,WEAVE,P0,Current repo has no Thread implementation,§12; §13; §14.1-§14.7,Mostly Locked,Ready,Thread recovery has to become the foundation reward spine before the game can grow into the V2 full loop.,WEAVE,,New,Foundation
"Map legacy progression, calling, vector, directive, Sanctum, and economy seams into V2 targets so implementation work can be ordered without design drift.",Foundation / Migration,V2-MIG-001,"Migration map exists for progression, stages/directives, Sanctum, and economy. Legacy stories are tagged as carryover, rewrite, or superseded.",,Legacy Alignment,V2 implementation order and dependency logic are explicit.,Alignment,Legacy backlog overall,10,MIGRATION,P0,core/progression/; core/directives/; core/state/flow/; core/sanctum/; data/balance.json,§11.5; §20.17; §22.3; §23.1,Locked,Ready,"Produce the authoritative migration map from current code-era systems into V2 canonical systems, preserving valid rails and naming the required replacements.",INFRA / MIGRATION,,Migration,Alignment
"Unify confirmed calling identity across save data, snapshots, combat behavior, initiative modifiers, and preparation flow so V2 calling work has one runtime seam.",Echo Progression,V2-PROG-002,Calling storage and projection seams are unified. Old calling_origin ambiguity is removed or explicitly migrated.,V2-MIG-001; V2-PROG-001,Callings,Future V2 calling stories target one runtime identity path.,Alignment,PROG-007; PROG-009,30,PROG,P0,core/progression/http://CallingService.gd; core/actors/http://EchoActor.gd; core/actors/behaviors/http://BehaviorArbiter.gd; core/state/flow/states/venture/http://FlowStageMapState.gd,§11.5; §11.9; §23.2,Locked,Ready,Retire ambiguous old calling storage so one confirmed calling identity drives simulation and UI.,PROG,,Migration,Alignment
Replace the old four-vector model with the V2 ten-vector identity model and locked virtue pairings.,Echo Progression,V2-PROG-003,Ten vectors and virtue pairings are defined as runtime/backlog truth. Migration from four-vector save data is specified.,V2-MIG-001,Vectors,No foundation story depends on legacy vector canon.,Alignment,PROG-005,40,PROG,P0,core/actors/http://VectorService.gd; core/grid/http://GridService.gd; data/balance.json,§11.4.3; §13.1-§13.8,Locked,Ready,The identity layer must move from the legacy four-vector model to the V2 ten-vector structure before calling and expression work can be canon-safe.,PROG,,Rewrite,Alignment
Implement the reduced foundation Weaving Rite outcome set and clue-based readiness model as the first canonical rite loop.,Narrative / Content,V2-WEAVE-002,"Foundation rite outcomes, readiness factors, and player clue surfaces are specified as implementation truth.",V2-WEAVE-001; V2-PROG-003; V2-PROG-004,Rite,Future Sanctum and Thread stories can build against one canonical rite loop.,Foundation,No safe legacy story,90,WEAVE,P0,Current repo has no rite implementation,§14.8-§16.11; §20.17,Locked,Ready,Foundation implementation needs the locked reduced outcome set and readiness clues rather than a full late-game rite system.,WEAVE,,New,Foundation
Carry forward the intel contract rail so failed and partial runs still return useful discoveries about a persistent stage.,Realm / Tactical,V2-INTEL-001,Objective type or location and discovered hazards can be retained across withdrawal/failure; known versus unknown intel is visible in snapshots or stage surfaces.,"V2-STAGE-001, V2-DIRECTIVE-001",Stage Influence Layer,The player can fail forward in realm play because discoveries survive the run.,Alignment,INTEL-001,120,INTEL,P0,core/save/http://SaveSchema.gd; core/state/flow/states/venture/http://FlowStageMapState.gd,V2 GDD hidden intel surface and useful failed runs,Mostly Locked,Ready,"Preserve the good old backlog idea that intel should persist and remain partially reliable, but attach it to V2 stage discovery instead of old itemized rumor scaffolding.",DIRECTIVE / INTEL / STAGE,,Carryover,Alignment
